energy(Ry) alat(a.u.)
-171.1291906 7.23988
-171.1292068 7.24148
-171.1292223 7.24309
-171.1292369 7.24469
-171.1292506 7.24629
-171.1292635 7.24790
-171.1292756 7.24950
-171.1292869 7.25110
-171.1292973 7.25271
-171.1293069 7.25431
-171.1293156 7.25591
-171.1293235 7.25752
-171.1293306 7.25912
-171.1293369 7.26072
-171.1293423 7.26232
-171.1293470 7.26393
-171.1293508 7.26553
-171.1293537 7.26713
-171.1293559 7.26874
-171.1293572 7.27034
-171.1293578 7.27194
-171.1293575 7.27355
-171.1293564 7.27515
-171.1293545 7.27675
-171.1293517 7.27836
-171.1293482 7.27996
-171.1293439 7.28156
-171.1293387 7.28317
-171.1293328 7.28477
-171.1293260 7.28637
-171.1293185 7.28798
-171.1293101 7.28958
-171.1293010 7.29118
-171.1292910 7.29279
-171.1292803 7.29439
-171.1292688 7.29599
-171.1292565 7.29760
-171.1292433 7.29920
-171.1292294 7.30080
-171.1292148 7.30240
-171.1291993 7.30401
-171.1291830 7.30561
-171.1291660 7.30721
-171.1291481 7.30882
-171.1291295 7.31042
-171.1291101 7.31202
-171.1290900 7.31363
-171.1290690 7.31523
-171.1290473 7.31683
-171.1290248 7.31844
-171.1290016 7.32004
-171.1289775 7.32164
-171.1289527 7.32325
-171.1289271 7.32485
-171.1289008 7.32645
-171.1288737 7.32806
-171.1288458 7.32966
-171.1288172 7.33126
-171.1287878 7.33287
-171.1287577 7.33447
-171.1287267 7.33607
-171.1286951 7.33768
-171.1286626 7.33928
-171.1286295 7.34088
-171.1285955 7.34248
-171.1285608 7.34409
-171.1285254 7.34569
-171.1284892 7.34729
-171.1284523 7.34890
-171.1284146 7.35050
-171.1283762 7.35210
-171.1283370 7.35371
-171.1282971 7.35531
-171.1282564 7.35691
-171.1282150 7.35852
-171.1281729 7.36012
-171.1281300 7.36172
-171.1280864 7.36333
-171.1280421 7.36493
-171.1279970 7.36653
-171.1279512 7.36814
-171.1279047 7.36974
-171.1278574 7.37134
-171.1278094 7.37295
-171.1277607 7.37455
-171.1277112 7.37615
-171.1276610 7.37776
-171.1276101 7.37936
-171.1275585 7.38096
-171.1275062 7.38257
-171.1274531 7.38417
-171.1273993 7.38577
-171.1273448 7.38737
-171.1272896 7.38898
-171.1272337 7.39058
-171.1271771 7.39218
-171.1271197 7.39379
-171.1270616 7.39539
-171.1270029 7.39699
-171.1269434 7.39860
-171.1268832 7.40020
-171.1268223 7.40180
-171.1267607 7.40341
-171.1266984 7.40501
-171.1266354 7.40661
-171.1265717 7.40822
-171.1265072 7.40982
-171.1264421 7.41142
-171.1263763 7.41303
-171.1263098 7.41463
-171.1262426 7.41623
-171.1261747 7.41784
-171.1261062 7.41944
-171.1260369 7.42104
-171.1259669 7.42265
-171.1258962 7.42425
-171.1258249 7.42585
-171.1257529 7.42745
-171.1256802 7.42906
-171.1256067 7.43066
-171.1255327 7.43226
-171.1254579 7.43387
-171.1253824 7.43547
-171.1253063 7.43707
-171.1252295 7.43868
-171.1251520 7.44028
-171.1250739 7.44188
-171.1249950 7.44349
-171.1249155 7.44509
-171.1248353 7.44669
-171.1247545 7.44830
-171.1246729 7.44990
-171.1245907 7.45150
-171.1245079 7.45311
-171.1244243 7.45471
-171.1243401 7.45631
-171.1242553 7.45792
-171.1241697 7.45952
-171.1240835 7.46112
-171.1239967 7.46273
-171.1239092 7.46433
-171.1238210 7.46593
-171.1237321 7.46754
-171.1236426 7.46914
-171.1235525 7.47074
-171.1234617 7.47234
-171.1233702 7.47395
-171.1232781 7.47555
-171.1231853 7.47715
-171.1230919 7.47876
-171.1229979 7.48036
-171.1229031 7.48196
-171.1228078 7.48357
-171.1227118 7.48517
-171.1226151 7.48677
-171.1225178 7.48838
-171.1224199 7.48998
-171.1223213 7.49158
-171.1222221 7.49319
-171.1221222 7.49479
-171.1220217 7.49639
-171.1219205 7.49800
-171.1218188 7.49960
-171.1217163 7.50120
-171.1216133 7.50281
-171.1215096 7.50441
-171.1214053 7.50601
-171.1213003 7.50762
-171.1211947 7.50922
-171.1210885 7.51082
-171.1209817 7.51242
-171.1208742 7.51403
-171.1207661 7.51563
-171.1206574 7.51723
-171.1205480 7.51884
-171.1204380 7.52044
-171.1203275 7.52204
-171.1202162 7.52365
-171.1201044 7.52525
-171.1199919 7.52685
-171.1198789 7.52846
-171.1197652 7.53006
-171.1196508 7.53166
-171.1195359 7.53327
-171.1194204 7.53487
-171.1193042 7.53647
-171.1191874 7.53808
-171.1190701 7.53968
-171.1189521 7.54128
-171.1188335 7.54289
-171.1187143 7.54449
-171.1185944 7.54609
-171.1184740 7.54770
-171.1183530 7.54930
-171.1182313 7.55090
-171.1181091 7.55251
-171.1179863 7.55411
-171.1178628 7.55571
-171.1177388 7.55731
-171.1176141 7.55892
-171.1174889 7.56052
-171.1173630 7.56212
-171.1172366 7.56373
-171.1171095 7.56533
-171.1169819 7.56693
-171.1168537 7.56854
-171.1167248 7.57014
-171.1165954 7.57174
-171.1164654 7.57335
-171.1163348 7.57495
-171.1162036 7.57655
-171.1160718 7.57816
-171.1159395 7.57976
-171.1158065 7.58136
-171.1156730 7.58297
-171.1155388 7.58457
-171.1154041 7.58617
-171.1152688 7.58778
-171.1151330 7.58938
-171.1149965 7.59098
-171.1148595 7.59259
-171.1147218 7.59419
-171.1145836 7.59579
-171.1144449 7.59739
-171.1143055 7.59900
-171.1141656 7.60060
-171.1140251 7.60220
-171.1138840 7.60381
-171.1137423 7.60541
-171.1136001 7.60701
-171.1134573 7.60862
-171.1133139 7.61022
-171.1131700 7.61182
-171.1130255 7.61343
-171.1128804 7.61503
-171.1127348 7.61663
-171.1125886 7.61824
-171.1124418 7.61984
-171.1122944 7.62144
-171.1121465 7.62305
-171.1119981 7.62465
-171.1118490 7.62625
-171.1116994 7.62786
-171.1115493 7.62946
-171.1113986 7.63106
-171.1112473 7.63267
-171.1110955 7.63427
-171.1109431 7.63587
-171.1107902 7.63747
-171.1106367 7.63908
-171.1104826 7.64068
-171.1103280 7.64228
-171.1101728 7.64389
-171.1100171 7.64549
-171.1098609 7.64709
-171.1097040 7.64870
-171.1095467 7.65030
-171.1093888 7.65190
-171.1092303 7.65351
-171.1090713 7.65511
-171.1089117 7.65671
-171.1087517 7.65832
-171.1085910 7.65992
-171.1084298 7.66152
-171.1082681 7.66313
-171.1081058 7.66473
-171.1079430 7.66633
-171.1077796 7.66794
-171.1076158 7.66954
-171.1074513 7.67114
-171.1072863 7.67275
-171.1071208 7.67435
-171.1069548 7.67595
-171.1067882 7.67756
-171.1066211 7.67916
-171.1064534 7.68076
-171.1062853 7.68236
-171.1061165 7.68397
-171.1059473 7.68557
-171.1057775 7.68717
-171.1056072 7.68878
-171.1054364 7.69038
-171.1052650 7.69198
-171.1050931 7.69359
-171.1049207 7.69519
-171.1047477 7.69679
-171.1045742 7.69840
-171.1044002 7.70000
